Johnson University (TN)	www.johnsonu.edu
Johnson University Florida (FL)	www.johnsonu.edu
Johnson C. Smith University (NC)	www.jcsu.edu
Johnson State College (VT)	www.jsc.edu
Johnson & Wales University (RI)	www.jwu.edu
Jones International University (CO)	www.jiu.edu
Judson College (AL)	www.judson.edu
Judson University (IL)	www.judsonu.edu
The Juilliard School (NY)	www.juilliard.edu
Juniata College (PA)	www.juniata.edu
La Roche College (PA)	www.laroche.edu
La Salle University (PA)	www.lasalle.edu
La Sierra University (CA)	lasierra.edu
Labouré College (MA)	www.laboure.edu
Lafayette College (PA)	www.lafayette.edu
LaGrange College (GA)	www.lagrange.edu
Laguna College of Art & Design (CA)	www.lcad.edu
Lake Erie College (OH)	www.lec.edu
Lake Erie College of Osteopathic Medicine (PA)	www.lecom.edu
Lake Forest College (IL)	www.lakeforest.edu
Lake Forest Graduate School of Management (IL)	www.lakeforestmba.edu
Lake Superior State University (MI)	www.lssu.edu
Lake-Sumter State College (FL)	www.lssc.edu
Lakeland College (WI)	lakeland.edu
Lakeview College of Nursing (IL)	www.lakeviewcol.edu
Lamar University (TX)	www.lamar.edu
Lancaster Bible College (PA)	www.lbc.edu
Lancaster Theological Seminary (PA)	lancasterseminary.edu
Lander University (SC)	www.lander.edu
Landmark College (VT)	www.landmark.edu
Lane College (TN)	www.lanecollege.edu
Langston University (OK)	www.langston.edu
Lasell College (MA)	www.lasell.edu
Lawrence Technological University (MI)	www.ltu.edu
Lawrence University (WI)	www.lawrence.edu
Le Moyne College (NY)	www.lemoyne.edu
Lebanon Valley College (PA)	www.lvc.edu
Lee University (TN)	www.leeuniversity.edu
Lees-McRae College (NC)	www.lmc.edu
Lehigh University (PA)	www.lehigh.edu
LeMoyne-Owen College (TN)	www.loc.edu
Lenoir-Rhyne University (NC)	www.lr.edu
Lesley University (MA)	www.lesley.edu
LeTourneau University (TX)	www.letu.edu
Lewis & Clark College (OR)	www.lclark.edu
Lewis-Clark State College (ID)	www.lcsc.edu
Lewis University (IL)	www.lewisu.edu
Lexington College (IL)	www.lexingtoncollege.edu
Liberty University (VA)	www.liberty.edu
Life Pacific College (CA)	lifepacific.edu
Life University (GA)	www.life.edu
LIM College (NY)	www.limcollege.edu
Limestone College (SC)	www.limestone.edu
Lincoln Christian University (IL)	www.lincolnchristian.edu
Lincoln College (IL)	lincolncollege.edu
Lincoln College of New England (CT)	www.lincolncollegene.edu
Lincoln Memorial University (TN)	www.lmunet.edu
Lincoln University (MO)	www.lincolnu.edu
Lincoln University (PA)	www.lincoln.edu
Lindenwood University (MO)	www.lindenwood.edu
Lindsey Wilson College (KY)	www.lindsey.edu
Linfield College (OR)	www.linfield.edu
Lipscomb University (TN)	www.lipscomb.edu
Livingstone College (NC)	www.livingstone.edu
Lock Haven University of Pennsylvania (PA)	www.lhup.edu
Logan University (MO)	www.logan.edu
Loma Linda University (CA)	www.llu.edu
Long Island University (NY)	www.liu.edu
Long Island University–Arnold & Marie Schwartz College of Pharmacy & Health Sciences	www.liu.edu
Long Island University–Brentwood Campus	www.liu.edu
Long Island University–Brooklyn Campus	www.liu.edu
Long Island University–C.W. Post Campus	www.liu.edu
Long Island University–Hudson	www.liu.edu
Long Island University–Riverhead	www.liu.edu
Longwood University (VA)	www.longwood.edu
Longy School of Music (MA)	www.longy.edu
Loras College (IA)	www.loras.edu
Louisiana College (LA)	www.lacollege.edu
Louisiana State University (LA)	www.lsu.edu
Louisiana State University–Alexandria (LA)	www.lsua.edu
Louisiana State University–Law Center	www.law.lsu.edu
Louisiana State University Health Sciences Center–New Orleans (LA)	www.lsuhsc.edu
Louisiana State University Health Sciences Center–Shreveport	www.lsuhscshreveport.edu
Louisiana State University–Shreveport (LA)	www.lsus.edu
Louisiana State University System (LA)	www.lsusystem.edu
Louisiana Tech University (LA)	www.latech.edu
Louisville Presbyterian Theological Seminary (KY)	www.lpts.edu
Lourdes University (OH)	www.lourdes.edu
Loyola University Maryland (MD)	www.loyola.edu
Loyola Marymount University (CA)	www.lmu.edu
Loyola University Chicago (IL)	www.luc.edu
Loyola University New Orleans (LA)	www.loyno.edu
Lubbock Christian University (TX)	www.lcu.edu
Luther College (IA)	www.luther.edu
Luther Seminary (MN)	www.luthersem.edu
Lutheran School of Theology at Chicago (IL)	www.lstc.edu
Lutheran Theological Seminary at Gettysburg (PA)	www.ltsg.edu
Lutheran Theological Seminary at Philadelphia (PA)	ltsp.edu
Lycoming College (PA)	www.lycoming.edu
Lyme Academy College of Fine Arts (CT)	www.lymeacademy.edu
Lynchburg College (VA)	www.lynchburg.edu
Lyndon State College (VT)	lyndonstate.edu
Lynn University (FL)	www.lynn.edu
Lyon College (AR)	www.lyon.edu
Naropa University (CO)	www.naropa.edu
National American University (SD)	www.national.edu
National College of Natural Medicine (OR)	www.ncnm.edu
National Defense University (DC)	www.ndu.edu
National Graduate School of Quality Management (MA)	ngs.edu
National Hispanic University (CA)	www.nhu.edu
National Intelligence University (DC)	www.ni-u.edu
National Labor College (MD)	www.nlc.edu
National-Louis University (IL)	www.nl.edu
National University (CA)	www.nu.edu
National University of Health Sciences (IL)	www.nuhs.edu
Navajo Technical University (NM)	www.navajotech.edu
Naval Postgraduate School (CA)	www.nps.edu
Nazarene Bible College (CO)	www.nbc.edu
Nazareth College (NY)	www2.naz.edu
Nebraska Christian College (NE)	www.nechristian.edu
Nebraska Methodist College (NE)	www.methodistcollege.edu
Nebraska Wesleyan University (NE)	www.nebrwesleyan.edu
Neumann University (PA)	www.neumann.edu
New College of Florida (FL)	www.ncf.edu
New England College (NH)	www.nec.edu
New England College of Business & Finance (MA)	www.necb.edu
New England College of Optometry (MA)	www.neco.edu
New England Conservatory of Music (MA)	necmusic.edu
New England Institute of Art (MA)	new.artinstitutes.edu
New England Institute of Technology (RI)	www.neit.edu
New Hope Christian College (OR)	www.newhope.edu
New Jersey City University (NJ)	www.njcu.edu
New Jersey Institute of Technology (NJ)	www.njit.edu
New Mexico Highlands University (NM)	www.nmhu.edu
New Mexico Institute of Mining & Technology (NM)	www.nmt.edu
New Mexico State University (NM)	www.nmsu.edu
New Orleans Baptist Theological Seminary (LA)	www.nobts.edu
The New School (NY)	www.newschool.edu
New York Chiropractic College (NY)	www.nycc.edu
New York Institute of Technology (NY)	www.nyit.edu
New York Medical College (NY)	www.nymc.edu
New York University (NY)	www.nyu.edu
Newberry College (SC)	www.newberry.edu
Newbury College (MA)	www.newbury.edu
Newman University (KS)	www.newmanu.edu
NewSchool of Architecture & Design (CA)	newschoolarch.edu
Niagara University (NY)	www.niagara.edu
Nichols College (MA)	www.nichols.edu
Nicholls State University (LA)	www.nicholls.edu
Norfolk State University (VA)	www.nsu.edu
North Carolina A&T State University (NC)	www.ncat.edu
North Carolina Central University (NC)	www.nccu.edu
North Carolina Wesleyan College (NC)	www.ncwc.edu
North Central University (MN)	www.northcentral.edu
North Central College (IL)	northcentralcollege.edu
North Carolina State University (NC)	www.ncsu.edu
North Dakota State University (ND)	www.ndsu.edu
North Greenville University (SC)	www.ngu.edu
North Park University (IL)	www.northpark.edu
Northcentral University (AZ)	www.ncu.edu
Northeast Ohio Medical University (OH)	www.neomed.edu
Northeastern Illinois University (IL)	www.neiu.edu
Northeastern Seminary at Roberts Wesleyan College (NY)	www.nes.edu
Northeastern State University (OK)	www.nsuok.edu
Northeastern State University–Broken Arrow (OK)	www.nsuok.edu
Northeastern State University–Muskogee (OK)	www.nsuok.edu
Northeastern University (MA)	www.northeastern.edu
Northern Arizona University (AZ)	www.nau.edu
Northern Baptist Theological Seminary (IL)	www.seminary.edu
Northern Illinois University (IL)	www.niu.edu
Northern Kentucky University (KY)	www.nku.edu
Northern Michigan University (MI)	www.nmu.edu
Northern New Mexico College (NM)	nnmc.edu
Northern State University (SD)	www.northern.edu
Northland College (WI)	www.northland.edu
Northwest Christian University (OR)	www.nwcu.edu
Northwest Florida State College (FL)	www.nwfsc.edu
Northwest Indian College (WA)	www.nwic.edu
Northwest Missouri State University (MO)	www.nwmissouri.edu
Northwest Nazarene University (ID)	www.nnu.edu
Northwest University (WA)	www.northwestu.edu
Northwestern College (IA)	www.nwciowa.edu
Northwestern Health Sciences University (MN)	www.nwhealth.edu
Northwestern Oklahoma State University (OK)	www.nwosu.edu
Northwestern State University (LA)	www.nsula.edu
Northwestern University (IL)	www.northwestern.edu
Northwood University (FL / MI / TX)	www.northwood.edu
Norwich University (VT)	www.norwich.edu
Notre Dame College (OH)	www.notredamecollege.edu
Notre Dame de Namur University (CA)	www.ndnu.edu
Notre Dame Seminary (LA)	nds.edu
Nova Southeastern University (FL)	www.nova.edu
Nyack College (NY)	www.nyack.edu
Oak Hills Christian College (MN)	www.oakhills.edu
