Freed-Hardeman University (TN)	www.fhu.edu	96.33.112.99	35.688	-88.11
Fresno Pacific University (CA)	www.fresno.edu	50.203.69.62	38	-97
Friends University (KS)	www.friends.edu	50.28.29.105	42.726	-84.636
Frontier Nursing University (KY)	www.frontier.edu	198.1.75.143	40.218	-111.613
Frostburg State University (MD)	www.frostburg.edu	131.118.80.40	39.641	-78.968
Fuller Theological Seminary (CA)	www.fuller.edu	208.88.128.112	41.744	-87.934
Furman University (SC)	www2.furman.edu	156.143.240.141	34.925	-82.433
Future Generations Graduate School (WV)	www.future.org	67.18.182.252	29.752	-95.367
Gallaudet University (DC)	www.gallaudet.edu	134.231.4.110	38.906	-76.978
Gannon University (PA)	www.gannon.edu	206.180.208.23	42.183	-80.065
Gardner-Webb University (NC)	www.gardner-webb.edu	74.208.174.174	40.055	-75.408
Garrett-Evangelical Theological Seminary (IL)	www.garrett.edu	174.136.3.90	38.614	-90.444
Geneva College (PA)	www.geneva.edu	65.210.64.136	40.773	-80.396
George Fox University (OR)	www.georgefox.edu	209.170.248.51	45.323	-122.982
George Mason University (VA)	www.gmu.edu	129.174.1.38	38.836	-77.338
George Washington University (DC)	www.gwu.edu	128.164.1.16	38.938	-77.093
George Washington University–Virginia Science & Technology Campus (VA)	virginia.gwu.edu	128.164.1.16	38.938	-77.093
Georgetown College (KY)	www.georgetowncollege.edu	98.19.220.43	38.253	-84.552
Georgetown University (DC)	www.georgetown.edu	69.46.225.2	38	-97
Georgia College & State University (GA)	www.gcsu.edu	168.16.211.192	33.025	-83.23
Georgia Gwinnett College (GA)	www.ggc.edu	207.114.53.205	39.163	-76.936
Georgia Institute of Technology (GA)	www.gatech.edu	130.207.160.173	33.776	-84.398
Georgia Regents University (GA)	www.gru.edu	158.93.191.150	33.386	-82.091
Georgia Southern University (GA)	www.georgiasouthern.edu	162.218.137.39	38	-97
Georgia Southwestern State University (GA)	gsw.edu	168.18.216.210	33.941	-83.434
Georgia State University (GA)	www.gsu.edu	174.143.197.199	29.489	-98.399
Georgian Court University (NJ)	www.georgian.edu	209.123.189.153	40.822	-74.456
Gettysburg College (PA)	www.gettysburg.edu	138.234.4.66	39.842	-77.229
Glenville State College (WV)	www.glenville.edu	129.71.101.190	38.929	-80.869
Global University (MO)	www.globaluniversity.edu	65.23.47.80	37.215	-93.298
God's Bible School & College (OH)	www.gbs.edu	74.208.27.14	40.055	-75.408
Goddard College (VT)	www.goddard.edu	54.225.94.67	39.044	-77.488
Golden Gate Baptist Theological Seminary (CA)	www.ggbts.edu	207.57.20.13	39.624	-104.874
Golden Gate University (CA)	www.ggu.edu	192.251.73.15	37.79	-122.394
Goldey-Beacom College (DE)	www.gbc.edu	107.1.39.102	39.684	-75.75
Goldfarb School of Nursing at Barnes-Jewish College (MO)	www.barnesjewishcollege.edu	204.16.249.197	42.556	-83.177
Gonzaga University (WA)	www.gonzaga.edu	147.222.24.6	47.654	-117.432
Goodwin College (CT)	www.goodwin.edu	205.178.150.74	30.144	-81.54
Gordon State College (GA)	www.gordonstate.edu	168.26.240.26	33.075	-84.139
Gordon College (MA)	www.gordon.edu	216.236.251.131	42.601	-70.872
Gordon-Conwell Theological Seminary (MA)	www.gordonconwell.edu	209.41.186.150	39.616	-75.704
Goshen College (IN)	www.goshen.edu	199.8.232.90	41.56	-85.854
Goucher College (MD)	www.goucher.edu	50.202.217.150	39.402	-76.633
Governors State University (IL)	www.govst.edu	143.43.32.120	41.463	-87.693
Grace Bible College (MI)	www.gbcol.edu	54.236.189.61	39.044	-77.488
Grace College & Seminary (IN)	www.grace.edu	23.21.118.220	39.044	-77.488
Grace University (NE)	www.graceuniversity.edu	67.227.230.18	42.726	-84.636
Graceland University (IA)	www.graceland.edu	208.112.13.178	39.616	-75.704
Graduate Institute of Applied Linguistics (TX)	www.gial.edu	216.50.37.93	32.681	-96.932
Graduate Theological Union (CA)	gtu.edu	50.56.49.247	29.489	-98.399
Grambling State University (LA)	www.gram.edu	198.99.190.140	32.528	-92.725
Grand Canyon University (AZ)	www.gcu.edu	137.152.22.135	33.508	-112.125
Grand Valley State University (MI)	www.gvsu.edu	148.61.6.9	42.974	-85.931
Grand View University (IA)	www.grandview.edu	216.159.26.39	41.61	-93.599
Granite State College (NH)	www.granite.edu	158.136.1.16	43.717	-71.716
Gratz College (PA)	www.gratz.edu	66.151.230.201	33.752	-84.392
Great Basin College (NV)	www.gbcnv.edu	134.197.186.58	40.541	-119.587
Great Lakes Christian College (MI)	www.glcc.edu	70.34.33.31	41.117	-96.061
Green Mountain College (VT)	greenmtn.edu	198.252.222.4	43.498	-73.183
Greensboro College (NC)	www.greensboro.edu	192.154.62.21	36.071	-79.768
Greenville College (IL)	www.greenville.edu	216.125.80.51	38.78	-89.598
Grinnell College (IA)	www.grinnell.edu	50.57.214.208	29.489	-98.399
Grove City College (PA)	www.gcc.edu	72.23.224.89	41.166	-80.062
Guilford College (NC)	www.guilford.edu	209.123.98.165	40.822	-74.456
Gulf Coast State College (FL)	www.gulfcoast.edu	150.176.193.154	30.161	-85.625
Gustavus Adolphus College (MN)	gustavus.edu	138.236.128.18	44.334	-94.062
Gwynedd Mercy University (PA)	www.gmercyu.edu	23.21.212.232	39.044	-77.488
Icahn School of Medicine at Mount Sinai (NY)	icahn.mssm.edu	146.203.136.209	40.777	-73.981
Idaho State University (ID)	www.isu.edu	134.50.250.89	42.64	-112.314
Iliff School of Theology (CO)	www.iliff.edu	192.240.176.227	42.465	-83.231
Illinois College (IL)	www.ic.edu	208.99.177.180	39.952	-75.164
Illinois College of Optometry (IL)	www.ico.edu	67.217.33.210	41.803	-88.134
Illinois Institute of Art (IL)	new.artinstitutes.edu	107.23.116.85	39.044	-77.488
Illinois Institute of Art–Schaumburg (IL)	new.artinstitutes.edu	107.23.163.251	39.044	-77.488
Illinois Institute of Technology (IL)	web.iit.edu	54.197.231.177	39.044	-77.488
Illinois State University (IL)	illinoisstate.edu	138.87.246.37	40.51	-88.998
Illinois Wesleyan University (IL)	www.iwu.edu	198.178.132.13	40.473	-88.992
